rozmiar,liczba_it,temp,nr_schematu,nr_permutacji,jakosc_wyniku
120,14400,2400,1,2,0.9585749792874897
120,14400,2400,2,0,0.9585749792874897
120,14400,2400,2,1,0.9585749792874897
120,14400,2400,2,2,0.9585749792874897
120,14400,1314,0,0,0.9585749792874897
120,14400,1314,0,1,0.9585749792874897
120,14400,1314,0,2,0.9585749792874897
120,14400,1314,1,0,0.9585749792874897
120,14400,1314,1,1,0.9585749792874897
120,14400,1314,1,2,0.9585749792874897
120,14400,1314,2,0,0.9585749792874897
120,14400,1314,2,1,0.9585749792874897
120,14400,1314,2,2,0.9585749792874897
120,14400,14400,0,0,0.9585749792874897
120,14400,14400,0,1,0.9585749792874897
120,14400,14400,0,2,0.9585749792874897
120,14400,14400,1,0,0.9585749792874897
120,14400,14400,1,1,0.9585749792874897
120,14400,14400,1,2,0.9585749792874897
120,14400,14400,2,0,0.9585749792874897
120,14400,14400,2,1,0.9585749792874897
120,14400,14400,2,2,0.9585749792874897
323,1615,6460,0,0,0.2340275326509001
323,1615,6460,0,1,0.23729420186113098
323,1615,6460,0,2,0.23729420186113098
323,1615,6460,1,0,0.2390481341265549
323,1615,6460,1,1,0.24166211044286495
323,1615,6460,1,2,0.24166211044286495
323,1615,6460,2,0,0.6311280342693956
323,1615,6460,2,1,0.6311280342693956
323,1615,6460,2,2,0.6311280342693956
323,1615,5805,0,0,0.6311280342693956
323,1615,5805,0,1,0.6311280342693956
323,1615,5805,0,2,0.6311280342693956
323,1615,5805,1,0,0.6311280342693956
323,1615,5805,1,1,0.6311280342693956
323,1615,5805,1,2,0.6311280342693956
323,1615,5805,2,0,0.6311280342693956
323,1615,5805,2,1,0.6311280342693956
323,1615,5805,2,2,0.6311280342693956
323,1615,104329,0,0,0.6311280342693956
323,1615,104329,0,1,0.6311280342693956
323,1615,104329,0,2,0.6311280342693956
323,1615,104329,1,0,0.6311280342693956
323,1615,104329,1,1,0.6311280342693956
323,1615,104329,1,2,0.6311280342693956
323,1615,104329,2,0,0.6421307506053269
323,1615,104329,2,1,0.6421307506053269
323,1615,104329,2,2,0.6421307506053269
323,5805,6460,0,0,0.6421307506053269
323,5805,6460,0,1,0.6421307506053269
323,5805,6460,0,2,0.6421307506053269
323,5805,6460,1,0,0.6421307506053269
323,5805,6460,1,1,0.6421307506053269
323,5805,6460,1,2,0.6421307506053269
323,5805,6460,2,0,0.6421307506053269
323,5805,6460,2,1,0.6421307506053269
323,5805,6460,2,2,0.6421307506053269
323,5805,5805,0,0,0.6421307506053269
323,5805,5805,0,1,0.6421307506053269
323,5805,5805,0,2,0.6421307506053269
323,5805,5805,1,0,0.6421307506053269
